2024-04-19_11-02-25,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_11-02-25.jpg,
2024-04-19_11-02-26,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_11-02-26.jpg,
2024-04-19_11-02-27,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_11-02-27.jpg,
2024-04-19_11-02-29,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_11-02-29.jpg,
2024-04-19_11-02-30,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_11-02-30.jpg,
2024-04-19_11-02-31,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_11-02-31.jpg,
2024-04-19_11-02-40,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_11-02-40.jpg,
2024-04-19_12-20-10,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_12-20-10.jpg,
2024-04-19_12-20-11,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_12-20-11.jpg,
2024-04-19_12-20-12,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_12-20-12.jpg,
2024-04-19_12-20-13,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_12-20-13.jpg,
2024-04-19_12-20-23,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_12-20-23.jpg,
2024-04-19_12-20-25,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_12-20-25.jpg,
2024-04-19_12-20-26,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_12-20-26.jpg,
2024-04-19_12-20-28,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_12-20-28.jpg,
2024-04-19_12-20-29,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_12-20-29.jpg,
2024-04-19_12-20-30,Camera1,Living Room,detected_fires\2024-04-19\Camera1_2024-04-19_12-20-30.jpg,
2024-04-22_16-02-26,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-26.jpg,
2024-04-22_16-02-27,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-27.jpg,
2024-04-22_16-02-28,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-28.jpg,
2024-04-22_16-02-28,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-28.jpg,
2024-04-22_16-02-29,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-29.jpg,
2024-04-22_16-02-30,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-30.jpg,
2024-04-22_16-02-31,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-31.jpg,
2024-04-22_16-02-32,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-32.jpg,
2024-04-22_16-02-32,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-32.jpg,
2024-04-22_16-02-33,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-33.jpg,
2024-04-22_16-02-34,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-34.jpg,
2024-04-22_16-02-35,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-35.jpg,
2024-04-22_16-02-36,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-36.jpg,
2024-04-22_16-02-36,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-36.jpg,
2024-04-22_16-02-37,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-37.jpg,
2024-04-22_16-02-38,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-38.jpg,
2024-04-22_16-02-39,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-39.jpg,
2024-04-22_16-02-40,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-40.jpg,
2024-04-22_16-02-40,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-02-40.jpg,
2024-04-22_16-26-43,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-26-43.jpg,
2024-04-22_16-26-44,Camera1,Living Room,detected_fires\2024-04-22\Camera1_2024-04-22_16-26-44.jpg,
